time,name,viewers,channels,id,rownum,date
20:00:00,Fortnite,219188,14527,8375,1,2019-04-18
20:00:00,Grand Theft Auto V,195451,1635,24,2,2019-04-18
20:00:00,League of Legends,175905,3742,2,3,2019-04-18
20:00:00,Just Chatting,107022,1624,46369,4,2019-04-18
20:00:00,Hearthstone,58100,414,5,5,2019-04-18
20:00:00,Garry's Mod,55484,63,66,6,2019-04-18
20:00:00,Counter-Strike: Global Offensive,53794,1966,3,7,2019-04-18
20:00:00,Dota 2,43006,941,6,8,2019-04-18
20:00:00,World of Warcraft,40635,1940,79,9,2019-04-18
20:00:00,PLAYERUNKNOWN'S BATTLEGROUNDS,38964,1552,26989,10,2019-04-18
