from,tickets,age,count,year
臺北市,306992,20,1,2001
臺北市,452654,30,2,2002
臺北市,411377,40,3,2003
臺北市,411687,50,4,2004
臺北市,330413,60,5,2005
臺北市,158436,70,6,2006
臺北市,84689,80,7,2007
臺北市,19738,90,8,2008
臺北市,2175986,100,9,2009
新北市,550282,20,1,2001
新北市,686160,30,2,2002
新北市,628402,40,3,2003
新北市,638806,50,4,2004
新北市,436284,60,5,2005
新北市,174013,70,6,2006
新北市,75487,80,7,2007
新北市,14933,90,8,2008
新北市,3204367,100,9,2009
桃園市,299703,20,1,2001
桃園市,367505,30,2,2002
桃園市,334316,40,3,2003
桃園市,304956,50,4,2004
桃園市,188081,60,5,2005
桃園市,81492,70,6,2006
桃園市,43629,80,7,2007
桃園市,7916,90,8,2008
桃園市,1627598,100,9,2009
臺中市,395105,20,1,2001
臺中市,472794,30,2,2002
臺中市,424417,40,3,2003
臺中市,402570,50,4,2004
臺中市,260503,60,5,2005
臺中市,118083,70,6,2006
臺中市,56075,80,7,2007
臺中市,8972,90,8,2008
臺中市,2138519,100,9,2009
臺南市,255094,20,1,2001
臺南市,316737,30,2,2002
臺南市,284794,40,3,2003
臺南市,300984,50,4,2004
臺南市,202053,60,5,2005
臺南市,103984,70,6,2006
臺南市,56356,80,7,2007
臺南市,8244,90,8,2008
臺南市,1528246,100,9,2009
高雄市,370828,20,1,2001
高雄市,464999,30,2,2002
高雄市,441390,40,3,2003
高雄市,432357,50,4,2004
高雄市,319800,60,5,2005
高雄市,148312,70,6,2006
高雄市,66412,80,7,2007
高雄市,10226,90,8,2008
高雄市,2254324,100,9,2009
新竹縣,71881,20,1,2001
新竹縣,92344,30,2,2002
新竹縣,86640,40,3,2003
新竹縣,72623,50,4,2004
新竹縣,44755,60,5,2005
新竹縣,27658,70,6,2006
新竹縣,14450,80,7,2007
新竹縣,2380,90,8,2008
新竹縣,412731,100,9,2009
苗栗縣,79716,20,1,2001
苗栗縣,90794,30,2,2002
苗栗縣,79969,40,3,2003
苗栗縣,83160,50,4,2004
苗栗縣,56640,60,5,2005
苗栗縣,35216,70,6,2006
苗栗縣,19909,80,7,2007
苗栗縣,3116,90,8,2008
苗栗縣,448520,100,9,2009
彰化縣,185268,20,1,2001
彰化縣,215099,30,2,2002
彰化縣,180901,40,3,2003
彰化縣,187167,50,4,2004
彰化縣,130532,60,5,2005
彰化縣,76606,70,6,2006
彰化縣,41364,80,7,2007
彰化縣,6025,90,8,2008
彰化縣,1022962,100,9,2009
南投縣,72170,20,1,2001
南投縣,75989,30,2,2002
南投縣,73136,40,3,2003
南投縣,81764,50,4,2004
南投縣,57043,60,5,2005
南投縣,33946,70,6,2006
南投縣,18422,80,7,2007
南投縣,2652,90,8,2008
南投縣,415122,100,9,2009
雲林縣,89905,20,1,2001
雲林縣,109767,30,2,2002
雲林縣,102522,40,3,2003
雲林縣,103701,50,4,2004
雲林縣,76712,60,5,2005
雲林縣,52108,70,6,2006
雲林縣,27778,80,7,2007
雲林縣,3714,90,8,2008
雲林縣,566207,100,9,2009
嘉義縣,68915,20,1,2001
嘉義縣,76441,30,2,2002
嘉義縣,76653,40,3,2003
嘉義縣,83920,50,4,2004
嘉義縣,58920,60,5,2005
嘉義縣,39769,70,6,2006
嘉義縣,23057,80,7,2007
嘉義縣,3210,90,8,2008
嘉義縣,430885,100,9,2009
屏東縣,117024,20,1,2001
屏東縣,130012,30,2,2002
屏東縣,126648,40,3,2003
屏東縣,135212,50,4,2004
屏東縣,96542,60,5,2005
屏東縣,53918,70,6,2006
屏東縣,26371,80,7,2007
屏東縣,3443,90,8,2008
屏東縣,689170,100,9,2009
宜蘭縣,65827,20,1,2001
宜蘭縣,68997,30,2,2002
宜蘭縣,69090,40,3,2003
宜蘭縣,70908,50,4,2004
宜蘭縣,47220,60,5,2005
宜蘭縣,29618,70,6,2006
宜蘭縣,15247,80,7,2007
宜蘭縣,2304,90,8,2008
宜蘭縣,369211,100,9,2009
花蓮縣,45357,20,1,2001
花蓮縣,50442,30,2,2002
花蓮縣,50255,40,3,2003
花蓮縣,52448,50,4,2004
花蓮縣,37513,60,5,2005
花蓮縣,19680,70,6,2006
花蓮縣,10293,80,7,2007
花蓮縣,1874,90,8,2008
花蓮縣,267862,100,9,2009
臺東縣,29759,20,1,2001
臺東縣,32817,30,2,2002
臺東縣,34784,40,3,2003
臺東縣,35314,50,4,2004
臺東縣,24643,60,5,2005
臺東縣,13712,70,6,2006
臺東縣,7209,80,7,2007
臺東縣,1309,90,8,2008
臺東縣,179547,100,9,2009
澎湖縣,15624,20,1,2001
澎湖縣,16707,30,2,2002
澎湖縣,15272,40,3,2003
澎湖縣,15299,50,4,2004
澎湖縣,10457,60,5,2005
澎湖縣,6056,70,6,2006
澎湖縣,4100,80,7,2007
澎湖縣,707,90,8,2008
澎湖縣,84222,100,9,2009
金門縣,22054,20,1,2001
金門縣,20674,30,2,2002
金門縣,20588,40,3,2003
金門縣,24129,50,4,2004
金門縣,13665,60,5,2005
金門縣,6353,70,6,2006
金門縣,3196,80,7,2007
金門縣,727,90,8,2008
金門縣,111386,100,9,2009
連江縣,1842,20,1,2001
連江縣,2104,30,2,2002
連江縣,2016,40,3,2003
連江縣,2214,50,4,2004
連江縣,1317,60,5,2005
連江縣,428,70,6,2006
連江縣,245,80,7,2007
連江縣,74,90,8,2008
連江縣,10240,100,9,2009
基隆市,52293,20,1,2001
基隆市,55042,30,2,2002
基隆市,59052,40,3,2003
基隆市,63963,50,4,2004
基隆市,43442,60,5,2005
基隆市,20654,70,6,2006
基隆市,10187,80,7,2007
基隆市,1915,90,8,2008
基隆市,306548,100,9,2009
新竹市,54431,20,1,2001
新竹市,77736,30,2,2002
新竹市,69518,40,3,2003
新竹市,57890,50,4,2004
新竹市,38311,60,5,2005
新竹市,18774,70,6,2006
新竹市,9864,80,7,2007
新竹市,2056,90,8,2008
新竹市,328580,100,9,2009
嘉義市,36451,20,1,2001
嘉義市,41945,30,2,2002
嘉義市,41502,40,3,2003
嘉義市,39639,50,4,2004
嘉義市,27736,60,5,2005
嘉義市,14748,70,6,2006
嘉義市,7561,80,7,2007
嘉義市,1176,90,8,2008
嘉義市,210758,100,9,2009
