time,viewers,date,channels,name,id,rownum,星期,viewersre,rownumch,rownumre
20:00:00,389304,2018-04-08,16123,Fortnite,8375,1,1,0.3602615177,100,1
20:00:00,299666,2018-04-08,2522,League of Legends,2,2,1,0.2773106055,90,0.9
20:00:00,348125,2018-05-08,12396,Fortnite,8375,1,3,0.3221545139,100,1
20:00:00,114871,2018-05-08,2355,League of Legends,2,2,3,0.1063015042,90,0.9
20:00:00,333802,2018-06-08,13995,Fortnite,8375,1,6,0.3089000245,100,1
20:00:00,88804,2018-06-08,2481,League of Legends,2,2,6,0.0821791295,90,0.9
20:00:00,323715,2018-07-08,12973,Fortnite,8375,1,1,0.2995655252,100,1
20:00:00,90221,2018-07-08,2570,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,2,1,0.0834904198,90,0.9
20:00:00,314402,2018-08-08,16175,Fortnite,8375,1,4,0.2909472846,100,1
20:00:00,117486,2018-08-08,2463,League of Legends,2,2,4,0.1087214225,90,0.9
20:00:00,302568,2018-09-08,1733,Counter-Strike: Global Offensive,3,1,7,0.2799961133,100,1
20:00:00,197951,2018-09-08,17364,Fortnite,8375,2,7,0.1831836501,90,0.9
20:00:00,314156,2018-10-08,15478,Fortnite,8375,1,2,0.2907196365,100,1
20:00:00,141410,2018-10-08,3034,League of Legends,2,2,2,0.1308606673,90,0.9
20:00:00,227170,2018-11-08,9888,Fortnite,8375,1,5,0.2102228823,100,1
20:00:00,151209,2018-11-08,3148,League of Legends,2,2,5,0.1399286517,90,0.9
20:00:00,207870,2018-12-08,20072,Fortnite,8375,1,7,0.1923626824,100,1
20:00:00,126873,2018-12-08,1503,Super Smash Bros. Ultimate,41126,2,7,0.1174081426,90,0.9
20:00:00,261310,2019-01-08,13491,Fortnite,8375,1,3,0.2418160029,100,1
20:00:00,149904,2019-01-08,14,Bastion,1406,2,3,0.1387210061,90,0.9
20:00:00,335421,2019-02-08,12821,Apex Legends,48815,1,6,0.3103982454,100,1
20:00:00,279586,2019-02-08,3412,League of Legends,2,2,6,0.2587285944,90,0.9
20:00:00,272530,2019-03-08,3300,League of Legends,2,1,6,0.2521989793,100,1
20:00:00,198480,2019-03-08,15190,Fortnite,8375,2,6,0.1836731861,90,0.9
20:00:00,249580,2019-04-08,12223,Fortnite,8375,1,2,0.2309610731,100,1
20:00:00,244525,2019-04-08,1566,Grand Theft Auto V,24,2,2,0.2262831813,90,0.9
